dataset,seed,classifier,attribute,baseline_eo_gap,pre_rollback_eo_gap,p2_delta_pre_rollback,final_eo_gap,rollback_executed
adult,13,logistic_regression,race,0.1981566820276498,0.2561663143058492,-0.058009632278199386,0.1981566820276498,True
adult,13,logistic_regression,sex,0.23928961896149126,0.31618732590529247,-0.07689770694380121,0.23928961896149126,True
adult,42,logistic_regression,race,0.1981566820276498,0.2561663143058492,-0.058009632278199386,0.1981566820276498,True
adult,42,logistic_regression,sex,0.23928961896149126,0.31618732590529247,-0.07689770694380121,0.23928961896149126,True
adult,137,logistic_regression,race,0.1981566820276498,0.2561663143058492,-0.058009632278199386,0.1981566820276498,True
adult,137,logistic_regression,sex,0.23928961896149126,0.31618732590529247,-0.07689770694380121,0.23928961896149126,True
compas,13,logistic_regression,race,0.3593006544833078,0.3478341216079648,0.011466532875342994,0.3593006544833078,True
compas,13,logistic_regression,sex,0.10725778422914156,0.16904107838752958,-0.061783294158388014,0.10725778422914156,True
compas,42,logistic_regression,race,0.3593006544833078,0.3478341216079648,0.011466532875342994,0.3593006544833078,True
compas,42,logistic_regression,sex,0.10725778422914156,0.16904107838752958,-0.061783294158388014,0.10725778422914156,True
compas,137,logistic_regression,race,0.3593006544833078,0.3478341216079648,0.011466532875342994,0.3593006544833078,True
compas,137,logistic_regression,sex,0.10725778422914156,0.16904107838752958,-0.061783294158388014,0.10725778422914156,True
