seed,dataset,backend,attribute,baseline_eo_gap,pre_rollback_eo_gap,p2_delta_pre_rollback,final_eo_gap,rollback_executed,provenance_nodes,n_synthesis_accepted,p1_pass_count,p1_total
13,compas,gaussian_copula,race,0.3472888465945504,0.3175037231851452,0.0297851234094052,0.3472888465945504,True,13,1476,3,3
13,compas,gaussian_copula,sex,0.0988162656144583,0.1187592284065157,-0.0199429627920574,0.0988162656144583,True,13,1476,3,3
137,compas,gaussian_copula,race,0.3075683129090521,0.3063753604360087,0.0011929524730433,0.3075683129090521,True,13,1476,3,3
137,compas,gaussian_copula,sex,0.0973667532148917,0.1145467322557975,-0.0171799790409058,0.0973667532148917,True,13,1476,3,3
42,compas,gaussian_copula,race,0.3350100017478782,0.317284870324492,0.0177251314233862,0.3350100017478782,True,14,2061,4,4
42,compas,gaussian_copula,sex,0.1002657780140249,0.1660685228541042,-0.0658027448400793,0.1002657780140249,True,14,2061,4,4
13,adult,gaussian_copula,race,0.1908161466596157,0.2986559139784946,-0.1078397673188788,0.1908161466596157,True,15,4666,4,4
13,adult,gaussian_copula,sex,0.0565478199054264,0.0978331278390001,-0.0412853079335736,0.0565478199054264,True,15,4666,4,4
42,adult,gaussian_copula,race,0.2254224270353303,0.3319892473118279,-0.1065668202764976,0.2254224270353303,True,15,4666,4,4
42,adult,gaussian_copula,sex,0.0513073593657906,0.0799456364909505,-0.0286382771251598,0.0513073593657906,True,15,4666,4,4
137,adult,gaussian_copula,race,0.1801515952758681,0.3268817204301076,-0.1467301251542395,0.1801515952758681,True,14,1666,4,4
137,adult,gaussian_copula,sex,0.0465016354646113,0.0675126343904373,-0.0210109989258259,0.0465016354646113,True,14,1666,4,4
42,compas,ctgan,race,0.3350100017478782,0.2742825136029019,0.0607274881449763,0.2742825136029019,False,11,2061,4,4
42,compas,ctgan,sex,0.1002657780140249,0.0813239732184053,0.0189418047956195,0.0813239732184053,False,11,2061,4,4
13,compas,ctgan,race,0.3472888465945504,0.3602160860439006,-0.0129272394493501,0.3472888465945504,True,13,1476,3,3
13,compas,ctgan,sex,0.0988162656144583,0.0760899263248497,0.0227263392896085,0.0988162656144583,True,13,1476,3,3
137,compas,ctgan,race,0.3075683129090521,0.30863760314481,-0.0010692902357579,0.3075683129090521,True,13,1476,3,3
137,compas,ctgan,sex,0.0973667532148917,0.0467780345080959,0.0505887187067958,0.0973667532148917,True,13,1476,3,3
42,compas,tvae,race,0.3350100017478782,0.3111431778098445,0.0238668239380337,0.3111431778098445,False,12,1807,3,4
42,compas,tvae,sex,0.1002657780140249,0.0310576514654207,0.0692081265486042,0.0310576514654207,False,12,1807,3,4
13,compas,tvae,race,0.3472888465945504,0.2868753762793498,0.0604134703152006,0.2868753762793498,False,10,1476,3,3
13,compas,tvae,sex,0.0988162656144583,0.0987984218077475,1.7843806710771126e-05,0.0987984218077475,False,10,1476,3,3
137,compas,tvae,race,0.3075683129090521,0.2751985783923404,0.0323697345167117,0.2751985783923404,False,12,1051,1,3
137,compas,tvae,sex,0.0973667532148917,0.0857063757924753,0.0116603774224164,0.0857063757924753,False,12,1051,1,3
42,adult,ctgan,race,0.3372093023255814,0.3401360544217687,-0.0029267520961872,0.3372093023255814,True,16,2910,3,4
42,adult,ctgan,sex,0.1335361326019785,0.2838451916807494,-0.1503090590787709,0.1335361326019785,True,16,2910,3,4
13,adult,ctgan,race,0.6666666666666667,0.6666666666666667,0.0,0.6666666666666667,True,16,2285,3,4
13,adult,ctgan,sex,0.0251217990256078,0.1466239570047415,-0.1215021579791337,0.0251217990256078,True,16,2285,3,4
137,adult,ctgan,race,0.4259259259259259,0.2549019607843137,0.1710239651416122,0.4259259259259259,True,16,2281,3,4
137,adult,ctgan,sex,0.0346494293035173,0.1793685589022376,-0.1447191295987203,0.0346494293035173,True,16,2281,3,4
42,adult,tvae,race,0.3372093023255814,,,,False,13,0,0,4
42,adult,tvae,sex,0.1335361326019785,,,,False,13,0,0,4
13,adult,tvae,race,0.6666666666666667,,,,False,13,0,0,4
13,adult,tvae,sex,0.0251217990256078,,,,False,13,0,0,4
137,adult,tvae,race,0.4259259259259259,,,,False,13,0,0,4
137,adult,tvae,sex,0.0346494293035173,,,,False,13,0,0,4
