seed,dataset,attribute,baseline_eo_gap,pre_rollback_eo_gap,p2_delta_pre_rollback,final_eo_gap,rollback_executed,provenance_nodes,n_synthesis_accepted
13,compas,race,0.3472888465945504,0.3175037231851452,0.0297851234094052,0.3472888465945504,True,13,1476
13,compas,sex,0.0988162656144583,0.1187592284065157,-0.0199429627920574,0.0988162656144583,True,13,1476
137,compas,race,0.3075683129090521,0.3063753604360087,0.0011929524730433,0.3075683129090521,True,13,1476
137,compas,sex,0.0973667532148917,0.1145467322557975,-0.0171799790409058,0.0973667532148917,True,13,1476
42,compas,race,0.3350100017478782,0.317284870324492,0.0177251314233862,0.3350100017478782,True,14,2061
42,compas,sex,0.1002657780140249,0.1660685228541042,-0.0658027448400793,0.1002657780140249,True,14,2061
13,adult,race,0.1908161466596157,0.2986559139784946,-0.1078397673188788,0.1908161466596157,True,15,4666
13,adult,sex,0.0565478199054264,0.0978331278390001,-0.0412853079335736,0.0565478199054264,True,15,4666
42,adult,race,0.2254224270353303,0.3319892473118279,-0.1065668202764976,0.2254224270353303,True,15,4666
42,adult,sex,0.0513073593657906,0.0799456364909505,-0.0286382771251598,0.0513073593657906,True,15,4666
137,adult,race,0.1801515952758681,0.3268817204301076,-0.1467301251542395,0.1801515952758681,True,14,1666
137,adult,sex,0.0465016354646113,0.0675126343904373,-0.0210109989258259,0.0465016354646113,True,14,1666
7,compas,race,0.3075683129090521,0.3205139579834595,-0.0129456450744074,0.3075683129090521,True,13,1476
7,compas,sex,0.0874593666305481,0.1160719690688817,-0.0286126024383336,0.0874593666305481,True,13,1476
23,compas,race,0.3224932512477909,0.3250198041763046,-0.0025265529285137,0.3224932512477909,True,13,1476
23,compas,sex,0.0882219450861734,0.1322192129830684,-0.043997267896895,0.0882219450861734,True,13,1476
71,compas,race,0.3120205472801072,0.314046706169397,-0.0020261588892897,0.3120205472801072,True,13,1476
71,compas,sex,0.0935191053503159,0.1209872059082857,-0.0274681005579697,0.0935191053503159,True,13,1476
101,compas,race,0.3152686877318366,0.3442662948762635,-0.0289976071444268,0.3152686877318366,True,13,1476
101,compas,sex,0.0962259522008464,0.120044954348175,-0.0238190021473286,0.0962259522008464,True,13,1476
211,compas,race,0.3224932512477909,0.328923603409487,-0.0064303521616961,0.3224932512477909,True,13,1476
211,compas,sex,0.0951955512849345,0.117816976846405,-0.0226214255614705,0.0951955512849345,True,13,1476
313,compas,race,0.3338059078285525,0.3328464146519218,0.0009594931766306,0.3338059078285525,True,13,1476
313,compas,sex,0.0933678163269479,0.1024922290566167,-0.0091244127296687,0.0933678163269479,True,13,1476
911,compas,race,0.3249014390864422,0.3355461199657783,-0.010644680879336,0.3249014390864422,True,13,1476
911,compas,sex,0.0858585652076135,0.1173576950105411,-0.0314991298029275,0.0858585652076135,True,13,1476
7,adult,race,0.1962806275339327,0.3440860215053763,-0.1478053939714436,0.1962806275339327,True,15,4666
7,adult,sex,0.0351225586135219,0.0841613308768183,-0.0490387722632963,0.0351225586135219,True,15,4666
23,adult,race,0.1964128327163757,0.2986559139784946,-0.1022430812621188,0.1964128327163757,True,15,4666
23,adult,sex,0.0588176738159191,0.0844408166230454,-0.0256231428071262,0.0588176738159191,True,15,4666
71,adult,race,0.2133256528417819,0.336021505376344,-0.1226958525345621,0.2133256528417819,True,15,4666
71,adult,sex,0.0588154242084756,0.0862108593833555,-0.0273954351748799,0.0588154242084756,True,15,4666
101,adult,race,0.2092933947772657,0.3319892473118279,-0.1226958525345622,0.2092933947772657,True,15,4666
101,adult,sex,0.0486505729750158,0.0912650110079043,-0.0426144380328884,0.0486505729750158,True,15,4666
211,adult,race,0.2133256528417819,0.3319892473118279,-0.1186635944700459,0.2133256528417819,True,15,4666
211,adult,sex,0.055061954188994,0.1095483227828305,-0.0544863685938364,0.055061954188994,True,15,4666
313,adult,race,0.1935483870967742,0.3440860215053763,-0.150537634408602,0.1935483870967742,True,15,4666
313,adult,sex,0.0753905318521918,0.0861409374981081,-0.0107504056459163,0.0753905318521918,True,15,4666
911,adult,race,0.2052611367127496,0.35215053763440857,-0.14688940092165897,0.2052611367127496,True,14,1666
911,adult,sex,0.04622549615092164,0.07550709034827574,-0.0292815941973541,0.04622549615092164,True,14,1666
